source_text,translated_text
Live Map,Carte en direct
Route Replay,Replay d'itinéraire
Task Management,Gestion des tâches
Employee Management,Gestion des employés
Client Management,Gestion des clients
Alert Centre,Centre d'alertes
Reports,Rapports
User Management,Gestion des utilisateurs
Check In,Pointage GPS
Start Visit,Démarrer visite
Complete Visit,Terminer la visite
Background tracking active,Suivi en arrière-plan actif
Switch Language,Changer de langue
Save,Enregistrer
Cancel,Annuler
Add Employee,Ajouter employé
Add Client,Ajouter client
New Task,Nouvelle tâche
All,Tous
GPS Off,GPS éteint
Low Battery,Batterie faible
Geofence,Géoclôture
Inactivity,Inactivité
Mark all read,Tout marquer comme lu
Export PDF,Exporter PDF
Export CSV,Exporter CSV
Employee,Employé
Branch,Branche
Department,Département
Territory,Territoire
Date,Date
