source_text,translated_text
Live Map,Live Map
Route Replay,Route Replay
Task Management,Task Management
Employee Management,Employee Management
Client Management,Client Management
Alert Centre,Alert Centre
Reports,Reports
User Management,User Management
Check In,Check In
Start Visit,Start Visit
Complete Visit,Complete Visit
Background tracking active,Background tracking active
Switch Language,Switch Language
Save,Save
Cancel,Cancel
Add Employee,Add Employee
Add Client,Add Client
New Task,New Task
All,All
GPS Off,GPS Off
Low Battery,Low Battery
Geofence,Geofence
Inactivity,Inactivity
Mark all read,Mark all read
Export PDF,Export PDF
Export CSV,Export CSV
Employee,Employee
Branch,Branch
Department,Department
Territory,Territory
Date,Date
