source_text,translated_text
Live Map,Mappa in tempo reale
Route Replay,Replay del percorso
Task Management,Gestione attività
Employee Management,Gestione dipendenti
Client Management,Gestione clienti
Alert Centre,Centro avvisi
Reports,Report
User Management,Gestione utenti
Check In,Registrazione GPS
Start Visit,Avvia visita
Complete Visit,Completa visita
Background tracking active,Tracciamento in background attivo
Switch Language,Cambia lingua
Save,Salva
Cancel,Annulla
Add Employee,Aggiungi dipendente
Add Client,Aggiungi cliente
New Task,Nuova attività
All,Tutti
GPS Off,GPS spento
Low Battery,Batteria scarica
Geofence,Geoclôture
Inactivity,Inattività
Mark all read,Segna tutti come letti
Export PDF,Esporta PDF
Export CSV,Esporta CSV
Employee,Dipendente
Branch,Filiale
Department,Dipartimento
Territory,Territorio
Date,Data
